timestep,demand_el,pv,wind,demand_heat
1,209643.3415769,0.0,0.10702,422934.5228816496
2,207497.2007709,0.0,0.074873,319952.32493091334
3,200108.0148989,0.0,0.055654,305802.0992582931
4,191892.6802004,0.0,0.065059,275143.27696761594
5,185717.3331069,0.0,0.085573,316807.8303369977
6,180672.7483735,0.0,0.096229,406425.9262635927
7,172683.5661471,0.0,0.11794,396206.31883336685
8,170048.1975444,0.0,0.15953,413501.03909990273
9,171132.8063389,0.0,0.23717,417431.65734229726
10,179532.7553002,0.062188,0.28515,368691.99113660527
11,189155.7737532,0.15426,0.35724,191814.17022885225
12,201026.4708567,0.16016,0.46354,85687.47768420039
13,208466.425651,0.1036,0.56932,30834.97945577976
14,207718.7378864,0.084862,0.68999,28265.39783446478
15,205443.3670963,0.052101,0.79517,29121.92504156977
16,206255.669853,0.014673,0.86893,61669.95891155952
17,217240.2184947,0.0,0.92278,166166.27817836872
18,232798.5854994,0.0,0.95895,529333.8139908859
19,237321.6349401,0.0,0.97963,893357.8770105082
20,232387.8187645,0.0,0.99052,644108.459742955
21,224306.3294067,0.0,0.99626,521625.0691269411
22,219280.2060996,0.0,0.99859,486507.4536356363
23,223701.7176957,0.0,0.99933,404280.8417535569
24,213926.3924759,0.0,0.99923,498498.8345351062
25,201834.1582569,0.0,0.99874,460811.6374224864
26,192215.7551605,0.0,0.99845,348606.57329173235
27,187152.7090008,0.0,0.99779,333189.0835638424
28,184355.8029181,0.0,0.99735,299784.5224867477
29,184438.8793364,0.0,0.9969,345180.46446331235
30,182786.5816836,0.0,0.99637,442824.5660732816
31,180105.0595152,0.0,0.99481,431689.71238091664
32,191509.6056049,0.0,0.99304,450533.3109372265
33,207104.8954623,0.0,0.99142,454815.9469727515
34,222501.724987,0.047766,0.99039,401711.2601322419
35,231127.8264203,0.12973,0.98986,208992.6385336184
36,238410.8590912,0.15324,0.98947,93361.46557444429
37,241184.688391,0.12837,0.99026,30295.47296935857
38,237413.9420716,0.10443,0.99193,27770.850221912027
39,234469.3445786,0.063981,0.99271,28612.391137727544
40,235193.9555604,0.019217,0.99281,60590.945938717145
41,242730.8328427,0.0,0.99158,163258.9376682101
42,264196.8562598,0.0,0.99079,520072.2859739889
43,265950.6917572,0.0,0.99146,877727.1751955831
44,260283.0338866,0.0,0.99194,632838.7686932681
45,245578.5078477,0.0,0.99202,512498.4177316493
46,238849.3179655,0.0,0.99239,477995.24018321314
47,241553.9169168,0.0,0.99198,397207.3122649236
48,231372.4403186,0.0,0.99105,489776.8130046303
49,218135.5976697,0.0,0.98873,452749.0127087477
50,208761.8084717,0.0,0.98524,342507.152736915
51,201492.6218705,0.0,0.98152,327359.4162522357
52,194421.895602,0.0,0.98,294539.3205354306
53,192118.8326725,0.0,0.97512,339140.98907365295
54,187983.4731838,0.0,0.96149,435076.6534766218
55,181517.3586262,0.0,0.94655,424136.6215710201
56,185246.5667365,0.0,0.94065,442650.52171896136
57,191874.2187741,0.0,0.93581,446858.22629803896
58,202715.6913621,0.063357,0.9057,394682.68951747695
59,213700.2400039,0.1452,0.87636,205335.9834589859
60,225649.3981692,0.13022,0.85986,91727.95982389124
61,229346.2987835,0.052762,0.87187,33212.783193744945
62,223484.7959368,0.04271,0.88404,30445.05126093287
63,219326.3596653,0.025526,0.90285,31367.628571870224
64,218684.8251018,0.0066043,0.92233,66425.56638748989
65,230273.9854545,0.0,0.94465,178979.9983218478
66,249824.6358941,0.0,0.95549,570152.7781592882
67,254873.835984,0.0,0.96371,962248.135307666
68,249547.7144998,0.0,0.9678,693778.1378248944
69,239841.6196285,0.0,0.97427,561849.582360852
70,235807.7979845,0.0,0.97693,524023.91261242033
71,240723.1527338,0.0,0.9763,435456.49076243374
72,229821.6805104,0.0,0.97646,536939.9949655433
73,217863.2916319,0.0,0.97775,496346.5932842995
74,207418.7397092,0.0,0.9796,375488.9655515054
75,201935.6961014,0.0,0.98278,358882.5739546329
76,199406.4806999,0.0,0.98391,322902.0588280759
77,201095.7012053,0.0,0.98546,371798.656307756
78,205706.4424209,0.0,0.98765,476972.469754615
79,222427.8792818,0.0,0.99015,464978.96471242927
80,247180.0365783,0.0,0.99225,485275.6655530512
81,262415.3286229,0.0,0.99371,489888.5521077379
82,271932.1938747,0.01319,0.9935,432688.75882962166
83,278416.7698586,0.039835,0.99284,225108.86386871577
84,283821.3524046,0.047415,0.9932,100560.9268921722
85,285838.2632266,0.038888,0.9939,107022.34261721016
86,282782.8971759,0.031488,0.9946,104903.08830795846
87,279990.6064497,0.01869,0.99482,115499.35985421688
88,278126.0023946,0.0044696,0.99465,163182.58181237982
89,283147.5103451,0.0,0.99386,328484.4179340113
90,300847.4027993,0.0,0.99291,734321.6181557092
91,299767.4093614,0.0,0.99168,942008.5404623746
92,294953.5924566,0.0,0.98756,765050.8056398586
93,281296.7523596,0.0,0.97564,633657.0384662541
94,273252.1858544,0.0,0.95063,633657.0384662541
95,269292.2099155,0.0,0.89537,505442.1527565271
96,256387.6729397,0.0,0.77284,503322.8984472754
97,245984.6592261,0.0,0.68626,467295.5751899968
98,236135.4883011,0.0,0.58396,406896.8273763237
99,229480.1441241,0.0,0.45925,384644.65712918097
100,225792.4742229,0.0,0.41573,370869.5041190451
101,227089.3894197,0.0,0.39466,411135.3359948271
102,233721.6568139,0.0,0.44267,440804.8963243507
